	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	-5.774699	3.2317147	3.4176517	0.5988755	1.6850746	2.6797202	3.3567767	-2.4715886	-1.370706	-2.1156554	4.4410243	4.248686	2.2365818	0.34879565	3.225041	-6.094048	-6.336649	1.2774616	-1.1294715	-2.9821343	-7.54239	0.3587879	0.9662609	3.783963	2.697586	0.4856575	-0.8384072	1.1577979	5.4355106	-4.525694	1.0502977	7.932426	-5.933506	-2.917407	1.6436062	-1.5147146	-0.19179848	4.291812	3.8231647	-4.8183775	-4.7463136	-3.786683	0.94016033	-0.1408433	-2.5645466	1.983249	1.138295	-3.96548	2.1797974	0.80865973	1.4753348	-5.8628683	-4.026661	1.9306133	-2.0672812	-2.9541078	-1.413576	2.8006763	1.5303974	-0.83900875	6.2438555	0.2342627	2.777009	2.146298
1	-5.7335997	2.9714952	3.2990093	0.47483513	1.6501943	2.5823023	3.0511823	-2.1764052	-1.108535	-1.8981857	4.3389835	3.9460864	2.2456033	0.33249688	3.1989765	-5.556822	-6.075596	1.1241702	-0.95901716	-2.6638167	-7.15152	0.53503776	0.7687675	3.6103764	2.3540967	0.20731127	-0.8598115	0.8590783	5.236421	-4.3083653	1.0060711	7.4161386	-5.5383334	-2.5459585	1.5616633	-1.2117226	-0.35400355	4.042569	3.3463914	-4.455111	-4.610381	-3.4425309	0.85709214	-0.3339576	-2.371049	1.7981018	1.2593907	-3.8577864	2.1024215	1.0493973	1.161471	-5.4855356	-3.942181	1.9244041	-1.8073977	-2.733379	-1.1849936	2.4041352	1.427937	-0.87223184	5.8883147	0.3031725	2.6481993	1.934263
2	-5.3320236	3.6316247	3.4878418	0.86120194	1.7119068	2.5322342	3.5127144	-2.872971	-1.5556991	-2.0435452	4.103907	4.3061905	1.8237269	0.25860858	2.761076	-6.18354	-5.842773	0.92429304	-1.4065684	-3.4575217	-7.314077	-0.18190356	1.3626679	3.5729272	2.919477	0.7935535	-0.8715061	1.4764037	5.2899656	-4.461348	0.9920176	7.800821	-5.978762	-3.2351277	1.1571547	-2.1230009	0.36521265	4.014492	4.133786	-5.022787	-4.52474	-3.946217	1.0124068	0.4643246	-2.2837293	2.3521552	0.9353631	-3.5582285	2.0117197	0.42285886	2.0424352	-5.791673	-3.578536	1.6060901	-2.4394827	-3.047716	-1.8427833	3.4560688	1.4981122	-0.48055726	5.9135385	0.21111816	2.7897687	2.5290833
3	-5.533809	3.384026	3.4887245	0.71010566	1.7400866	2.5814412	3.3316066	-2.5854604	-1.3643727	-1.953393	4.221852	4.179314	2.0204837	0.282755	2.9676702	-5.919532	-5.937174	0.9357893	-1.2144867	-3.1604364	-7.2556868	0.11494244	1.108415	3.6006818	2.6813555	0.50769866	-0.92013836	1.1801331	5.286171	-4.465228	1.0131476	7.6522865	-5.824025	-2.9394298	1.2686529	-1.7528994	0.07050873	4.0185084	3.8056767	-4.819522	-4.6093173	-3.7261827	0.95343477	0.15184067	-2.275723	2.1558037	1.1200691	-3.691322	2.0555358	0.71157825	1.6784631	-5.7087774	-3.7698615	1.7633394	-2.192189	-2.9317188	-1.5910062	3.0452025	1.4591197	-0.6226001	5.8857565	0.27796403	2.7654347	2.316827
4	-2.5027692	0.036099516	1.0694987	0.5124711	1.1269253	0.22026081	0.45853138	-0.3021544	3.5259624	0.8640826	1.9361025	1.5881219	1.7900922	-0.8953066	2.6868947	1.9110217	-3.7204363	0.055831715	-0.04397633	1.7783778	0.64167655	1.7983253	-0.07313886	-0.65880644	-3.955639	-3.9895678	-1.0790542	-3.718287	4.012354	-2.0287642	-1.1035769	-0.41607013	-1.8401917	3.840321	3.037645	4.849417	-2.5625637	3.233117	-4.2342596	-0.5415466	-3.2293794	0.465342	-2.2898214	-2.9889767	-0.16774295	0.26853904	3.4914963	-0.88547665	0.10832537	5.8860755	-3.0526652	-3.0619123	-2.0285447	1.6267586	1.0137031	-0.235665	1.7149848	-4.706603	-1.8370101	-0.99749655	0.4531166	2.1195872	1.4450375	-0.14336956
5	-5.2493196	5.6060834	4.6313925	1.8809389	2.530872	2.782273	4.6076393	-4.599319	-1.9510933	-1.8055634	3.9979322	5.583105	0.9760157	-0.08174821	2.0279684	-7.276527	-5.587784	-0.29343432	-2.4265459	-5.4615393	-7.9697466	-1.7048876	2.753075	3.634624	3.9511688	1.4498425	-1.3672688	2.2495756	5.9656396	-5.1942263	0.9882575	8.752562	-7.380311	-4.4781322	-0.025587268	-4.0815387	1.9637117	4.0429573	5.4069386	-6.5378995	-4.9231343	-5.0149403	1.201732	2.3938549	-1.6218011	3.9394662	0.93331015	-3.0549216	1.6651412	-0.16226028	3.80814	-6.8028107	-2.9280238	0.9872899	-4.0286007	-3.9220715	-3.4346447	5.771563	1.5000066	0.844231	5.7698965	0.45206332	3.4923317	4.145275
6	-5.38614	3.2705584	3.4201055	0.6999256	1.720465	2.47597	3.1865866	-2.4774559	-1.2877396	-1.8514344	4.088494	4.01573	1.9411988	0.27607146	2.8548565	-5.6666594	-5.6835337	0.8185696	-1.1672896	-3.0626464	-6.9832673	0.10501872	1.0923401	3.4756904	2.5767288	0.4472993	-0.9333374	1.121121	5.1291223	-4.337202	0.98129225	7.3578024	-5.6090956	-2.80484	1.1440972	-1.7018608	0.09211062	3.8425753	3.6319544	-4.6422577	-4.469152	-3.557399	0.92862	0.15121011	-2.13976	2.1101143	1.1181395	-3.5715	1.9954696	0.71842766	1.6145669	-5.4927945	-3.6442916	1.6853067	-2.1134706	-2.80968	-1.5493035	2.948531	1.4110088	-0.5838555	5.61499	0.27993044	2.694272	2.256798
7	-5.4049973	3.4542606	3.4377882	0.75597507	1.6933482	2.5293703	3.3670838	-2.6754584	-1.4282701	-1.9824109	4.124811	4.183674	1.9277072	0.25861984	2.8566988	-5.964052	-5.838218	0.94074196	-1.2856514	-3.2407198	-7.211941	-0.0047902716	1.1831177	3.562541	2.7377594	0.61258054	-0.8724514	1.2839916	5.2301774	-4.411178	0.98292863	7.631354	-5.8220677	-3.0318263	1.215617	-1.8723494	0.18168205	3.972948	3.902872	-4.843227	-4.5362263	-3.7796776	0.97672963	0.25696015	-2.271855	2.1996622	1.0273411	-3.6032636	2.0121164	0.5981735	1.7987834	-5.6685076	-3.6492338	1.6739138	-2.2650156	-2.948865	-1.6638228	3.173829	1.4704313	-0.5803241	5.842788	0.24091706	2.7482903	2.3658834
8	-5.5316267	2.3597288	2.9276161	0.27233526	1.465198	2.337882	2.5917885	-1.6394488	-0.8899391	-1.8170358	4.1583357	3.473361	2.3084671	0.37857652	3.1819308	-4.9483843	-5.7331634	1.2670091	-0.6843529	-2.08374	-6.612812	0.83675236	0.47599486	3.454018	2.0030596	-0.023948401	-0.7551848	0.6286323	4.859912	-3.956087	0.9279367	6.7882075	-4.9349103	-2.0784354	1.666884	-0.68118054	-0.6629211	3.814568	2.8154876	-3.8290944	-4.3131723	-2.943881	0.772557	-0.7769162	-2.3544383	1.3638167	1.2613406	-3.8388388	2.0611787	1.1945884	0.6416485	-4.9416466	-3.8784745	1.8874398	-1.3561423	-2.34878	-0.78007436	1.7302966	1.3707448	-1.0994068	5.441714	0.21851942	2.412284	1.4618198
9	-5.595924	2.5223625	3.0290992	0.3312771	1.511427	2.413128	2.7446723	-1.7932036	-0.9880871	-1.8846134	4.228762	3.631972	2.3126628	0.37653834	3.2100563	-5.1860886	-5.8710084	1.2830974	-0.7646656	-2.2551377	-6.8141384	0.7574719	0.56214684	3.5337787	2.1425157	0.070773214	-0.7739655	0.72791207	4.9809246	-4.082875	0.9566685	7.033367	-5.139876	-2.2424958	1.6754142	-0.83124965	-0.5864169	3.9230008	3.0180378	-4.025754	-4.4113035	-3.1098423	0.8073497	-0.668898	-2.4097714	1.4777883	1.2444924	-3.8840637	2.0940843	1.1244322	0.79262954	-5.1383257	-3.9311337	1.9095559	-1.4889947	-2.4699018	-0.8973117	1.9307827	1.4057906	-1.0620286	5.6133313	0.21932401	2.4881139	1.5896094
