	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	-1.8840891	-0.60667247	-2.7141628	-4.745073	2.746377	-0.9585617	5.625004	5.8848567	-1.6886508	-4.5111537	-1.1363499	6.344242	-3.8910306	-1.7166209	-1.8179573	4.038452	-0.9940243	3.6637964	-3.1507485	-5.9991245	-2.4560084	2.3741329	-3.2462525	0.9255456	-3.0030909	1.1084977	4.1618276	2.7842293	7.243042	3.4204092	4.7233725	-1.8638041	4.1180825	-2.2400057	-0.96577334	-3.6535907	-5.383795	-2.2149522	-1.3269675	1.0197504	-0.8888123	-2.5622478	-0.88171077	-3.996849	-1.2667451	0.45398444	2.833124	-0.57654995	6.6029296	4.71094	3.7861147	4.234176	5.311233	-4.631759	5.3724113	4.1007338	-0.39528474	-2.4261026	-2.232371	-2.4129915	2.5973585	-3.3433037	1.1853008	3.8221972
1	-2.0266552	-0.42860436	-2.8413978	-4.650104	2.5782118	-1.0408933	5.6909337	6.1698794	-1.8610506	-4.518836	-1.3295678	6.415153	-3.9313014	-1.8421237	-1.9837737	4.424681	-1.1638358	3.8725467	-3.1757107	-6.0279684	-2.1910782	2.5603938	-3.3388786	1.0096726	-2.928115	1.2705112	4.1729813	2.9518585	7.2339706	3.3094747	4.5470777	-1.8500311	4.137377	-2.1281435	-0.98340964	-3.6020007	-5.5305424	-2.188416	-1.4867954	1.0102518	-0.77634454	-2.5257566	-1.1186981	-3.9084663	-1.3437678	0.5656744	2.667379	-0.6779628	6.90885	4.5447574	3.8379955	3.9885898	5.5611744	-4.667825	5.5556912	4.0521345	-0.31364864	-2.2363691	-2.2108111	-2.354547	2.7777438	-3.4048207	1.2250177	3.8978274
2	-1.9361036	-0.21893306	-2.936077	-4.0105133	2.3497071	-1.0212727	5.437705	6.089909	-1.9359138	-4.292775	-1.5407275	6.1853685	-3.739486	-1.8706483	-2.1880577	4.347784	-1.222762	3.6179194	-3.0207472	-5.758522	-1.6105454	2.6819282	-3.282187	1.1491699	-2.500489	1.6097519	3.8394077	2.9174778	6.617131	2.9864972	3.9739943	-1.5890391	3.7494698	-1.7369063	-1.0509781	-3.2099495	-5.2578754	-2.0572138	-1.568559	0.7715468	-0.5171557	-2.2894757	-1.3460436	-3.3847098	-1.2536199	0.80620855	2.1815236	-0.71197355	6.832069	4.063202	3.5736864	3.2531002	5.5539217	-4.3415627	5.2017093	3.759667	-0.18215394	-1.8065312	-2.1766953	-1.9859775	2.944255	-3.260993	0.98803437	3.583353
3	-1.854585	-0.21487232	-2.8425639	-3.754842	2.307716	-0.99301434	5.2407904	5.867795	-1.8076499	-4.188039	-1.4936808	5.9705806	-3.5654867	-1.8353627	-2.1774004	4.074374	-1.181066	3.3276672	-2.8896456	-5.5880814	-1.4795903	2.5883305	-3.211567	1.1057842	-2.3467069	1.6607926	3.6958187	2.7745597	6.3260107	2.8969705	3.8040333	-1.489248	3.5322807	-1.6098564	-1.0340574	-3.049669	-5.013389	-1.9563091	-1.4510447	0.6356104	-0.46060395	-2.1614597	-1.3118708	-3.1744406	-1.160948	0.85438144	2.0545905	-0.655139	6.5393825	3.9136598	3.3843608	3.1017942	5.337802	-4.133654	4.9067245	3.6457293	-0.15754521	-1.7203232	-2.135755	-1.8258413	2.8311522	-3.0977309	0.87403274	3.345849
4	-1.8337872	-0.14879645	-2.9766045	-3.694548	2.2791562	-0.99505806	5.2891874	5.9790683	-1.9497871	-4.1659546	-1.647141	6.0351005	-3.6236718	-1.8587601	-2.2380629	4.234791	-1.1951156	3.4315934	-2.9175463	-5.595599	-1.355328	2.70367	-3.2180457	1.2032933	-2.293416	1.7597208	3.6588635	2.8702657	6.281011	2.8180637	3.7067533	-1.4583266	3.5511267	-1.5240057	-1.0837414	-3.0254374	-5.085381	-2.012787	-1.609869	0.66846246	-0.41283453	-2.1777177	-1.4223948	-3.1205463	-1.1844336	0.9124116	1.9556953	-0.73711836	6.7338676	3.8305755	3.4342208	2.8924963	5.5204473	-4.172903	4.9636087	3.6186683	-0.12926975	-1.6195214	-2.172813	-1.8005399	3.023454	-3.2022676	0.8526218	3.4086814
5	-1.6740634	-0.88275474	-2.5773773	-5.023612	3.1791263	-0.67921543	5.678947	5.4856176	-1.4784884	-4.4722867	-0.79887235	6.395828	-3.9208739	-1.4715816	-1.5405263	3.4897814	-0.7352758	3.4979687	-3.3129258	-6.101161	-2.9471092	2.1228483	-3.2198262	0.8334571	-3.2231095	0.85117185	4.1030903	2.5716875	7.351418	3.7738538	5.156957	-1.8552258	4.296912	-2.588609	-0.9685222	-3.784475	-5.288554	-2.3819094	-0.9927652	1.1009297	-1.168675	-2.7249856	-0.3647777	-4.263176	-1.2663966	0.28589702	3.2994514	-0.39995295	6.2748938	5.201112	3.773622	4.687385	5.0991054	-4.7704015	5.2258725	4.294584	-0.6258663	-2.7199216	-2.3042228	-2.6946135	2.2965717	-3.2863817	1.0966463	3.8136299
6	-1.7806718	-0.59110034	-2.6186516	-4.4189086	2.7249842	-0.8644815	5.405178	5.610377	-1.5517747	-4.36457	-1.073129	6.1212244	-3.6941946	-1.654202	-1.813904	3.6806219	-0.9571743	3.3209686	-3.0345993	-5.819994	-2.278255	2.2830856	-3.182076	0.90312254	-2.8064115	1.1904593	3.9419382	2.6091225	6.860175	3.345047	4.5154834	-1.698755	3.8714807	-2.1144626	-0.9567517	-3.443626	-5.0879745	-2.108133	-1.1536521	0.8487688	-0.8272699	-2.4147198	-0.80511045	-3.728025	-1.1769109	0.5253018	2.6996765	-0.483683	6.2671876	4.5613937	3.5438344	4.023543	5.0763464	-4.40007	5.007025	3.9692745	-0.3938006	-2.2935114	-2.1983519	-2.243206	2.4618092	-3.1278143	1.0186002	3.5277426
7	-1.4840062	-0.21778323	-2.617292	-3.1280682	2.1988487	-0.8420148	4.686211	5.1825876	-1.5333018	-3.7459025	-1.371813	5.3745923	-3.0741324	-1.6337998	-2.0709665	3.361359	-0.9193711	2.6663733	-2.596711	-5.0076656	-1.1997244	2.2723167	-2.9293156	0.9853225	-1.9731939	1.699662	3.2261183	2.4135673	5.5231833	2.6314628	3.3061893	-1.249546	3.022026	-1.2710998	-0.9708016	-2.6073961	-4.3723383	-1.8184519	-1.2036045	0.36227506	-0.37796253	-1.8678613	-1.1352963	-2.6397257	-0.97152877	0.9245257	1.7632693	-0.5749637	5.789149	3.518355	2.9121943	2.5658448	4.8217654	-3.6457217	4.1793528	3.2683253	-0.1399051	-1.4518983	-1.9756608	-1.4667039	2.5735965	-2.7169285	0.5495427	2.7904387
8	-1.8328662	-0.12298651	-3.04668	-3.6908953	2.2833796	-0.9929411	5.33303	6.0472546	-2.0223029	-4.178284	-1.7246777	6.088645	-3.6704895	-1.8761052	-2.2629554	4.317708	-1.2086045	3.4892693	-2.937501	-5.6270447	-1.3119272	2.7698686	-3.2307134	1.2546448	-2.2850113	1.8061451	3.6578062	2.92097	6.285338	2.7954252	3.6894267	-1.4465151	3.579305	-1.4957767	-1.1102078	-3.037523	-5.136938	-2.045355	-1.6880013	0.6951619	-0.39829683	-2.1982021	-1.4729793	-3.1130304	-1.1988286	0.9374702	1.9269265	-0.7738905	6.84175	3.8135674	3.4729197	2.8237529	5.6201625	-4.2117815	5.0016656	3.6277328	-0.12291947	-1.5902959	-2.2049015	-1.8037647	3.1215475	-3.2662954	0.852052	3.4527974
9	-2.0015073	-0.35052282	-2.863435	-4.4281516	2.4779015	-1.0417489	5.591657	6.1417847	-1.8822043	-4.4288783	-1.3958086	6.3217163	-3.8495023	-1.8529137	-2.0531392	4.4103537	-1.1870404	3.7925792	-3.1174667	-5.9162426	-1.9877512	2.5889518	-3.3148656	1.0466989	-2.780035	1.3759434	4.057497	2.941073	7.0211806	3.191181	4.334852	-1.7669101	4.000048	-1.9920862	-0.99537456	-3.4607418	-5.4342647	-2.1370006	-1.5115788	0.9276939	-0.68601376	-2.434074	-1.1981251	-3.7265296	-1.3186402	0.6427882	2.4950867	-0.6933839	6.876946	4.366164	3.7420244	3.7293806	5.549752	-4.5491123	5.4439406	3.9394815	-0.26375732	-2.0795233	-2.1825805	-2.2253819	2.8224514	-3.342328	1.1517323	3.7906983
