	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	0.8291898	-6.62013	-2.4349923	5.908231	-3.818403	-4.358184	0.56469834	-4.7860794	-0.77550596	-0.68555963	0.68593705	6.373804	0.13757156	-2.545582	3.171679	-6.5393867	-1.5589365	-2.6977065	5.71275	-1.564748	2.8264263	-5.352713	5.77249	-3.1684837	-2.3944616	1.5247521	3.7062674	3.4197695	1.0007153	-6.981881	1.5847899	-9.140772	-0.89176893	-5.5606728	-0.28719902	6.788369	-1.5155725	5.074703	3.3866658	1.79353	-3.5563107	-6.969112	-3.6031952	3.862623	4.4296784	-5.2208147	0.143001	-6.896908	-4.618488	1.0302079	7.829175	1.3057486	4.874365	6.5309873	-1.5698901	-3.7714763	-5.3402233	0.5169412	1.6946174	1.0048765	5.8361883	1.9563988	-1.5867479	-0.86083835
1	0.13946143	-0.3814075	-0.6405005	-0.8966081	0.8107888	-0.66415083	-0.50174814	-1.0582527	0.562151	-0.37767923	-0.115950786	0.2596117	0.37484092	0.67544436	0.65900147	-0.9991954	0.7332402	-0.41047266	0.4958053	-0.10617957	-0.60928583	-0.5690113	0.30508745	-0.2598958	-0.5404599	-0.6077308	0.3848299	0.6690253	0.9456681	-0.017127067	1.1433954	-1.1536134	0.23601747	0.08752084	0.41993946	-0.297594	-0.72722566	-0.9786404	0.2504161	0.015562169	-0.4810983	-0.46268687	0.15007804	-0.9292425	0.54794693	-0.6358118	0.8843264	-0.38394776	-0.4792257	0.6970645	0.6893473	0.506195	0.9807826	-0.16144884	0.21778718	1.3483998	-0.8970974	-0.7752594	-0.2241747	-0.5201632	1.244101	-1.092426	-0.16230671	-0.31894696
2	-2.8317153	-35.388794	-13.726518	26.567835	-24.394455	-9.585761	12.185102	-28.8347	-5.352241	2.0811026	-8.298784	40.292816	-7.0256433	-10.214848	17.887257	-29.441477	-23.605978	-14.517366	25.305998	-13.673187	16.743383	-21.42445	32.439186	-8.348071	-11.700627	15.050628	19.114235	26.879305	1.2069545	-43.672108	5.6465683	-47.472782	-2.40173	-34.785465	-6.0230975	31.820196	-6.4454584	38.50045	9.904787	1.4085264	-3.2865553	-31.540976	-26.006813	29.386196	21.299303	-26.34419	-6.2325597	-33.45643	-17.031866	-15.057039	44.361458	-7.3125215	31.95749	38.7645	-2.2560477	-24.306944	-16.593212	3.9746249	15.898915	8.161244	38.561897	11.457021	-6.3465023	9.398164
3	-2.30684	-43.384438	-16.52539	33.365852	-29.565279	-13.643619	13.077339	-34.243587	-6.5999475	1.2594666	-8.0723505	46.88722	-6.7686567	-12.721647	21.151043	-35.48681	-26.32733	-17.170391	32.42472	-15.866323	20.686695	-26.508516	39.372917	-11.819002	-13.710531	17.565248	23.328257	30.796196	0.58647066	-51.815533	6.3858595	-56.789448	-3.1926146	-40.384743	-6.454638	38.99748	-7.3857775	45.620056	13.355895	3.4204001	-6.5975633	-39.1596	-30.132511	33.951103	26.708954	-32.01592	-6.620356	-40.884678	-21.992306	-14.954093	52.508675	-6.495424	37.12594	45.93153	-4.875412	-29.438004	-21.334585	4.625684	17.999012	9.670437	43.79521	14.933008	-7.967946	8.843147
4	-3.2802544	-38.369846	-16.047937	27.060368	-25.756332	-9.946855	12.920646	-32.14255	-5.9777846	2.3785722	-10.315679	43.835907	-8.635263	-9.896796	19.211702	-32.53999	-25.172422	-16.05891	27.995977	-15.2193575	17.178034	-22.837574	35.500504	-9.787962	-12.591891	17.43463	21.106462	30.290152	0.5898237	-48.123226	6.790997	-52.745106	-2.3606136	-37.139675	-6.414277	33.264393	-7.7059927	41.7005	10.322799	1.6875145	-2.8412445	-34.769245	-27.782745	30.896366	23.298561	-28.882942	-6.7745814	-35.8767	-18.252605	-16.906902	48.295902	-8.839485	35.24299	41.94816	-2.6887124	-25.369513	-17.972147	3.149154	17.072079	8.903829	42.25678	11.565416	-6.323881	10.436573
5	3.085675	-17.807602	-5.5986266	16.385057	-11.747389	-9.175682	1.6112704	-15.892085	0.99209756	-0.44907096	2.3905845	16.315437	1.478755	-3.7776616	10.278369	-17.618885	-9.842456	-6.239657	14.867552	-5.1363864	7.177946	-15.461113	18.069326	-6.6212425	-5.2164755	1.2631954	7.8709903	12.495913	2.584944	-20.253077	2.3411663	-24.144985	1.5706626	-15.641438	-1.3078634	16.66174	-0.588278	17.25183	8.708899	1.1970088	-6.735552	-15.726164	-9.671269	11.939126	10.053429	-17.09822	2.3268769	-18.168142	-12.834762	-1.4684353	21.000324	2.3018496	13.9515085	21.199488	-4.143983	-12.796212	-11.642322	4.8983293	4.73524	1.0215329	17.325413	10.578142	-6.7009106	1.4286491
6	0.9010735	-10.434015	-3.7037845	8.980058	-6.4598756	-5.308443	1.8251803	-8.584385	-0.46373966	-0.33575296	0.097320765	10.585151	-0.32560968	-3.0234592	5.356407	-10.027964	-4.5253344	-4.1549573	8.892098	-3.0346553	4.6436267	-7.963493	9.676305	-3.8000324	-3.333887	2.6855068	5.0637035	6.8749895	1.1765684	-11.770714	2.131491	-14.527988	-0.2481058	-9.411591	-0.82060516	10.070369	-1.6772796	9.70869	4.54614	1.610784	-3.7580612	-10.18566	-6.28208	6.748314	6.692123	-9.015787	0.18460995	-10.591778	-6.769372	-0.6743734	12.492106	0.6824861	8.381363	11.301212	-1.8251493	-6.312633	-7.015313	1.4703747	3.233682	1.5185266	10.3804455	4.137348	-2.63119	0.4261853
7	0.98504823	-55.24087	-19.640127	49.300175	-40.737415	-21.746735	14.174234	-43.390644	-6.0648413	0.7416548	-3.7627823	56.427856	-3.7942507	-16.898643	26.70121	-47.144535	-33.21415	-20.16808	45.052166	-17.653593	28.124464	-38.25796	51.422173	-18.324268	-15.299213	17.567907	27.295889	37.197327	1.4141499	-64.43093	5.874703	-73.27207	-1.2662444	-50.87707	-6.82945	52.6904	-6.0534286	58.741886	21.238087	5.6063294	-12.983089	-50.434437	-37.25645	42.29536	34.43894	-44.507904	-5.1192183	-53.89674	-31.038864	-14.239213	65.599075	-3.6852224	44.903996	62.416073	-9.9248705	-40.664417	-30.6146	10.64839	21.342487	10.310842	52.78089	25.677744	-13.69142	6.9452586
8	-2.9229722	-71.137886	-26.481945	52.051777	-47.723915	-20.868048	20.802868	-59.400486	-8.657057	2.3514037	-13.723997	76.85479	-10.583808	-18.259346	36.449795	-59.311543	-46.095726	-27.876934	52.94316	-26.264109	31.871082	-45.217342	66.13424	-18.489494	-22.374123	26.781895	37.9166	53.278557	1.6212214	-85.94441	10.879817	-94.28509	-3.3871837	-65.783394	-10.688756	62.136307	-11.571357	74.98244	20.825968	4.235675	-9.578086	-63.706455	-48.77876	55.473686	42.57401	-54.50841	-8.788511	-67.501755	-36.97051	-27.408867	86.28612	-10.7085	61.49604	76.64516	-7.4823155	-47.7493	-33.413445	8.635294	28.985672	13.774295	74.20939	26.271753	-14.998694	16.703318
9	-1.945108	-15.698495	-7.132292	9.334717	-9.503231	-4.7123804	4.9035187	-13.308936	-3.3631198	0.30133194	-5.43572	18.660027	-3.9424672	-3.8748116	7.4070497	-13.632964	-8.518325	-7.302415	12.410183	-5.8734875	6.058372	-9.204389	13.616221	-4.569948	-5.872691	8.99285	9.645861	11.989056	-0.31554732	-19.618378	4.5105515	-22.749086	-2.638971	-14.598541	-1.9151437	13.569204	-5.2159343	15.143796	4.0057273	2.3792076	-1.9328364	-15.59465	-11.297004	11.029526	10.561357	-11.056049	-3.4422107	-14.500462	-7.8347106	-6.0313306	19.83135	-3.9863408	14.538345	15.574665	-0.8743724	-8.306496	-7.773	-0.6124616	6.837501	4.123018	17.233913	2.4636838	-1.8290638	2.8557136
