	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
0	1.6213472	-0.73936284	-0.447545	0.46110904	-1.3098228	0.5691144	-1.0445669	0.7892827	1.0314558	-1.827842	-0.3800015	-0.43820885	0.49138796	-0.5196804	-0.045498084	1.4485798	-0.36444044	-1.9341027	-0.4013244	-0.67715144	0.19045582	-0.3497303	-2.1065469	1.0480967	0.37108147	0.95033	2.345003	0.59356266	-0.21853474	-1.2514902	0.9790156	0.15745947	1.5009263	1.4636831	0.30215982	-0.97950846	-1.4164325	1.3353162	0.48173642	-1.4797305	-0.5229652	-0.64159405	-0.1732296	-0.828872	-0.84448457	-2.4843507	0.2516696	1.2334311	-1.2250098	-0.08136928	2.8150775	-1.3120506	1.8035316	0.9707166	0.44932717	1.5722097	-0.19386464	-0.063980274	0.29807192	-0.47775474	-0.04578257	-0.07554819	-0.75917524	-0.06425949
1	1.9393222	-0.94195706	-0.69330776	0.7084859	-1.6919318	0.8479692	-1.4212234	0.4037521	1.3194729	-1.9062666	0.2325823	-0.6297369	0.7884742	-0.93866813	0.027825646	1.6331434	-0.41988128	-2.3422327	-0.4449055	-0.42596477	-0.09345713	-0.4570977	-2.3569205	1.175133	0.4871872	0.93086624	2.116596	0.80125743	-0.219538	-1.2776685	1.0848053	0.5213746	1.453341	1.6975352	0.2359986	-0.8105232	-1.5751603	1.4319404	0.6912307	-1.49888	-0.084038764	-0.13622127	0.1742868	-0.79398257	-1.0061743	-2.5914109	0.59788847	1.0392742	-1.5037436	0.13890198	3.55173	-1.3340303	1.6707709	1.3156366	0.47118312	1.9186794	-0.18105431	-0.33855265	0.7221066	-0.41573814	-0.114269674	-0.34980428	-0.6698328	-0.09040075
2	1.7686386	-0.8540046	-0.58416444	0.60758966	-1.4553252	0.70107377	-1.2327986	0.57931304	1.164742	-1.8326946	-0.04673043	-0.50992835	0.6546883	-0.747821	-0.048734352	1.5094478	-0.39893156	-2.1289194	-0.43152475	-0.5404614	0.044545088	-0.39284617	-2.1995254	1.0817242	0.40430734	0.9419446	2.2103267	0.702771	-0.21686171	-1.252317	1.0104516	0.34422377	1.4427781	1.5503263	0.2782546	-0.87700135	-1.5014578	1.3572487	0.5916726	-1.4572445	-0.27368268	-0.3525911	0.029219627	-0.79759026	-0.9217644	-2.4886196	0.43089977	1.1357452	-1.334846	0.05960466	3.1355653	-1.3224419	1.6977249	1.1459166	0.46872556	1.7245151	-0.17631854	-0.19440934	0.5088681	-0.42999214	-0.091956526	-0.21413355	-0.70968795	-0.07324294
3	1.6992042	-0.79822767	-0.5090529	0.52669394	-1.3916131	0.6402717	-1.1362056	0.6833707	1.1085619	-1.8345035	-0.207202	-0.47850692	0.5781228	-0.63736486	-0.038948774	1.4905096	-0.37841868	-2.033199	-0.411251	-0.6086399	0.10762497	-0.3712786	-2.1627765	1.0702217	0.38797328	0.9487593	2.2858398	0.649756	-0.2141568	-1.2559885	0.99563897	0.253032	1.4849306	1.5209504	0.285229	-0.93938786	-1.4631903	1.353067	0.5318631	-1.4760435	-0.39467025	-0.50436866	-0.08190097	-0.8217508	-0.88557374	-2.497756	0.34791467	1.1753261	-1.2905427	-0.008498102	2.9940853	-1.3077862	1.7500119	1.0703051	0.45713168	1.6521854	-0.1925571	-0.1292404	0.41600382	-0.45680854	-0.06360806	-0.15517072	-0.72930694	-0.073712386
4	1.6166284	-0.7350421	-0.4431192	0.45620495	-1.302011	0.56142795	-1.0369475	0.8054043	1.0235069	-1.8313336	-0.40086764	-0.43503106	0.48199135	-0.5077428	-0.0480399	1.4464692	-0.36383885	-1.9269207	-0.40175408	-0.6871772	0.20018555	-0.34818995	-2.105389	1.0477179	0.36972526	0.95219433	2.357509	0.588886	-0.21935593	-1.2520378	0.9788109	0.14551288	1.5060002	1.459418	0.30506772	-0.98522246	-1.4142072	1.3353708	0.47857362	-1.4843798	-0.5388748	-0.65811414	-0.18218738	-0.8300705	-0.8414426	-2.4866257	0.24035311	1.2436543	-1.2201308	-0.08972752	2.7996926	-1.3164858	1.8142333	0.960333	0.44868672	1.5672393	-0.19357146	-0.056389056	0.28374547	-0.48062712	-0.04479825	-0.066286296	-0.76516914	-0.06363002
5	1.9528232	-0.9567019	-0.72258604	0.73705417	-1.7161121	0.86942947	-1.4566457	0.3715452	1.3344598	-1.8975192	0.28345722	-0.6350304	0.8061421	-0.9748631	0.025102504	1.6352395	-0.42787158	-2.3707807	-0.45395932	-0.3975508	-0.10773404	-0.4621804	-2.3616042	1.1797338	0.49794924	0.924384	2.0824988	0.81376976	-0.22362223	-1.2728511	1.0919139	0.554445	1.4322172	1.6982208	0.23438703	-0.7815516	-1.5791863	1.4294449	0.7124516	-1.4868222	-0.045506448	-0.081530094	0.21756351	-0.7821786	-1.0115066	-2.5762327	0.62501764	1.0298123	-1.5098282	0.15546416	3.590962	-1.341775	1.6566778	1.3329687	0.47417694	1.9405919	-0.17133248	-0.36337563	0.749842	-0.40775192	-0.12579823	-0.3628208	-0.664703	-0.08816568
6	1.9105597	-0.930353	-0.68546486	0.70146203	-1.6514281	0.8247747	-1.3978004	0.43178368	1.292237	-1.8888135	0.19243135	-0.60623354	0.7675376	-0.9135899	0.0076437294	1.6083423	-0.4194018	-2.3120952	-0.44805658	-0.44095072	-0.06894095	-0.4453835	-2.326859	1.1579204	0.47477457	0.9309937	2.1255248	0.78710276	-0.21973526	-1.2711728	1.0735877	0.49497026	1.4425324	1.6668136	0.24480143	-0.81360805	-1.5634196	1.4159938	0.6818166	-1.4867177	-0.1093747	-0.1600583	0.1631491	-0.7891121	-0.99049413	-2.5648863	0.57213163	1.0598981	-1.470324	0.12894267	3.4817502	-1.3381492	1.6746014	1.2862179	0.47191024	1.8879215	-0.1755265	-0.31710103	0.6866644	-0.41448084	-0.11515184	-0.32504565	-0.67831624	-0.08639974
7	1.7260215	-0.8308705	-0.562835	0.582899	-1.4159585	0.675399	-1.1960664	0.6098139	1.1347911	-1.8122158	-0.09928821	-0.4860627	0.6250833	-0.7099779	-0.05388022	1.4823136	-0.3929003	-2.0826917	-0.42654896	-0.5558079	0.07154496	-0.3783363	-2.1616428	1.0649804	0.3946767	0.93972623	2.2163508	0.6806529	-0.21763113	-1.2446383	0.99810386	0.3134405	1.4348011	1.5184076	0.2837123	-0.8856642	-1.4769211	1.3405924	0.5692902	-1.4429239	-0.3065247	-0.38935685	0.0019892529	-0.79583275	-0.9000559	-2.4604535	0.40084052	1.150314	-1.2970469	0.04016778	3.055119	-1.3160582	1.6997504	1.111566	0.46575278	1.6839378	-0.17399661	-0.17050107	0.47186136	-0.434015	-0.08657046	-0.18652517	-0.7143364	-0.069058426
8	1.1273496	-0.42174312	-0.30280334	0.3426765	-0.67344403	0.117179394	-0.6986058	1.5044535	0.42055005	-1.6466858	-1.403175	-0.1561408	-0.06266263	0.15901083	-0.26593792	1.0632803	-0.35930485	-1.3934743	-0.40309882	-1.1071967	0.8334323	-0.255355	-1.608243	0.92753106	0.24726139	0.9532217	2.685963	0.19508085	-0.3528302	-1.0645397	0.8560113	-0.50611556	1.4001915	0.8283315	0.6342262	-0.9380015	-1.1036723	1.1672444	0.24784191	-1.3832419	-1.2607352	-1.3398619	-0.35522026	-0.6183185	-0.5683754	-2.220541	-0.31471607	1.7240245	-0.6881232	-0.5261586	1.5475188	-1.5308915	2.1373663	0.22845152	0.48780417	1.1378582	-0.010644275	0.23002732	-0.5372988	-0.60760814	-0.1454653	0.52586746	-1.0749985	0.15182972
9	1.9949086	-0.9815232	-0.76260436	0.77652	-1.7788222	0.91082126	-1.5157721	0.31119448	1.3738966	-1.9014025	0.37347066	-0.66011715	0.8419186	-1.032683	0.034002148	1.6622432	-0.4396426	-2.4315088	-0.46335846	-0.35037255	-0.14527828	-0.4776663	-2.393028	1.1993722	0.5214365	0.9126134	2.036215	0.84076434	-0.22675577	-1.2685199	1.108601	0.6150866	1.4188734	1.7247279	0.22329503	-0.7439129	-1.5950462	1.4388833	0.7474379	-1.4852865	0.022855759	0.0027055219	0.27837083	-0.77160203	-1.0298522	-2.5790014	0.67776334	1.0019007	-1.5474808	0.18381011	3.6915464	-1.3428489	1.6422901	1.3753847	0.47694612	1.9873285	-0.1638575	-0.40781802	0.8083998	-0.3926212	-0.13785437	-0.40083557	-0.653129	-0.09051468
